,acc,precision,recall,F-Measure,MCC
AAKpartComposition,0.7150997150997150,0.7385892116182570,0.827906976744186,0.7807017543859650,0.38298861252461600
AAutoCor,0.7122507122507120,0.7375,0.8232558139534880,0.778021978021978,0.37718014969908400
CkSAApair,0.6951566951566950,0.7061068702290080,0.8604651162790700,0.7756813417190780,0.3295463770957000
CkSGAApair,0.6866096866096870,0.6981132075471700,0.8604651162790700,0.7708333333333330,0.3083558705253520
CTD,0.6866096866096870,0.6951672862453530,0.8697674418604650,0.7727272727272730,0.3072091846217470
CTDC,0.717948717948718,0.7086330935251800,0.9162790697674420,0.799188640973631,0.38493854803346900
CTDD,0.6438746438746440,0.6730769230769230,0.813953488372093,0.736842105263158,0.21005654989269900
DDE,0.7464387464387460,0.752,0.8744186046511630,0.8086021505376340,0.45039242068552100
ExpectedValueAA,0.7492877492877490,0.7414448669201520,0.9069767441860470,0.8158995815899580,0.4574451916294260
ExpectedValueGAA,0.7236467236467240,0.7218045112781950,0.8930232558139540,0.7983367983367980,0.39677687615642000
ExpectedValueGKmerAA,0.6467236467236470,0.6812749003984060,0.7953488372093020,0.7339055793991420,0.2235426122255000
ExpectedValueKmerAA,0.584045584045584,0.6282527881040890,0.786046511627907,0.6983471074380170,0.05843353370657180
GrpDDE,0.7407407407407410,0.7421875,0.8837209302325580,0.8067940552016980,0.4368732525104850
IF,0.7578347578347580,0.7297297297297300,0.5955882352941180,0.6558704453441300,0.4777901867804010
kAAComposition,0.7663817663817660,0.7670682730923700,0.8883720930232560,0.8232758620689650,0.4956079928810030
kGAAComposition,0.7293447293447290,0.7238805970149250,0.9023255813953490,0.8033126293995860,0.41069313388176
PseKRAAC_T1,0.7320872274143300,0.6851851851851850,0.3490566037735850,0.46250000000000000,0.3394393928192430
PseKRAAC_T2,0.7122507122507120,0.7035714285714290,0.9162790697674420,0.7959595959595960,0.3710911209546270
PseKRAAC_T3A,0.6353276353276350,0.638095238095238,0.9348837209302330,0.7584905660377360,0.15519472156778200
PseKRAAC_T3B,0.6324786324786330,0.6452702702702700,0.8883720930232560,0.7475538160469670,0.15588012576539100
PseKRAAC_T4,0.6239316239316240,0.6360655737704920,0.9023255813953490,0.7461538461538460,0.12436857201536200
PseKRAAC_T5,0.6866096866096870,0.6881720430107530,0.8930232558139540,0.7773279352226720,0.30562249065048200
PseKRAAC_T6A,0.6752136752136750,0.690566037735849,0.8511627906976740,0.7625,0.2811616718935930
PseKRAAC_T6B,0.6894586894586900,0.6962962962962960,0.8744186046511630,0.7752577319587630,0.3139048449928520
PseKRAAC_T7,0.7207977207977210,0.7294117647058820,0.8651162790697670,0.7914893617021280,0.39100184908073000
PseKRAAC_T8,0.6752136752136750,0.694980694980695,0.8372093023255810,0.7594936708860760,0.2839482244347530
PseKRAAC_T9,0.6125356125356130,0.632996632996633,0.8744186046511630,0.7343750000000000,0.09849792163844700
PseKRAAC_T10,0.6894586894586900,0.6866197183098590,0.9069767441860470,0.7815631262525050,0.3130871506106520
PseKRAAC_T11,0.6752136752136750,0.6771929824561400,0.8976744186046510,0.7720000000000000,0.27579534349845000
PseKRAAC_T12,0.6923076923076920,0.6931407942238270,0.8930232558139540,0.7804878048780490,0.320114552855148
PseKRAAC_T13,0.6723646723646720,0.6824817518248180,0.8697674418604650,0.7648261758691210,0.2708395599767830
PseKRAAC_T14,0.6866096866096870,0.6895306859205780,0.8883720930232560,0.7764227642276420,0.3057774075122670
PseKRAAC_T15,0.6894586894586900,0.6948529411764710,0.8790697674418610,0.7761806981519510,0.3135310861514520
PseKRAAC_T16,0.6866096866096870,0.6895306859205780,0.8883720930232560,0.7764227642276420,0.3057774075122670
QSOrder,0.7321937321937320,0.7574468085106380,0.827906976744186,0.7911111111111110,0.42337509744614500
SAAC,0.6752136752136750,0.7186147186147190,0.772093023255814,0.7443946188340810,0.302108991100228
SGAAC,0.6951566951566950,0.7347826086956520,0.786046511627907,0.7595505617977530,0.3459615718811370
SOCNumber,0.7094017094017090,0.7025089605734770,0.9116279069767440,0.7935222672064780,0.36355336372639300
