,J48,,,,Random Tree,,,,Random Forest,,,,Logistic,,,,MultiLayerPerception,,,,SimpleLogistic,,,,NaiveBayes,,,,BayesNet,,,
,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP
Fold 1,18,4,8,6,21,1,6,8,18,4,7,7,18,4,8,6,19,3,7,7,18,4,8,6,18,4,9,5,18,4,10,4
Fold 2,21,1,6,8,21,1,6,8,20,2,6,8,21,1,7,7,21,1,6,8,21,1,6,8,21,1,7,7,21,1,7,7
Fold 3,18,4,6,8,19,3,5,9,16,6,7,7,17,5,8,6,19,3,6,8,18,4,6,8,17,5,7,7,17,5,8,6
Fold 4,21,1,6,8,18,4,8,6,21,1,6,8,19,3,4,10,21,1,3,11,21,1,6,8,21,1,5,9,21,1,5,9
Fold 5,20,0,10,4,22,0,9,5,22,0,11,3,22,0,11,3,22,0,10,4,22,0,10,4,22,0,10,4,22,0,10,4
Fold 6,21,1,12,2,22,0,2,12,22,0,10,4,20,2,10,4,21,1,9,5,21,1,12,2,21,1,10,4,21,1,10,4
Fold 7,17,5,6,8,16,6,9,5,17,5,8,6,17,5,9,5,18,4,9,5,17,5,6,8,17,5,9,5,17,5,9,5
Fold 8,17,5,8,6,22,0,3,11,19,3,9,5,18,4,8,6,19,3,6,8,19,3,9,5,19,3,9,5,19,3,9,5
Fold 9,17,5,6,8,20,2,6,8,19,3,9,5,17,5,11,3,19,3,8,6,17,5,8,6,17,5,10,4,17,5,10,4
Fold 10,13,4,4,6,16,1,2,8,16,1,2,8,17,0,3,7,17,0,2,8,14,3,4,6,17,0,3,7,16,1,3,7
Total,183,30,72,64,197,18,56,80,190,25,75,61,186,29,79,57,196,19,66,70,188,27,75,61,190,25,79,57,189,26,81,55
acc,0.730659025787966,,,,0.720797720797721,,,,0.754985754985755,,,,0.754985754985755,,,,0.746438746438746,,,,0.749287749287749,,,,0.766381766381766,,,,0.769230769230769,,,
precision,0.740890688259109,,,,0.711191335740072,,,,0.756972111553785,,,,0.765432098765432,,,,0.736842105263158,,,,0.755020080321285,,,,0.769230769230769,,,,0.774590163934426,,,
recall,0.859154929577465,,,,0.916279069767442,,,,0.883720930232558,,,,0.865116279069767,,,,0.911627906976744,,,,0.874418604651163,,,,0.883720930232558,,,,0.87906976744186,,,
F-Measure,0.795652173913043,,,,0.800813008130081,,,,0.815450643776824,,,,0.812227074235808,,,,0.814968814968815,,,,0.810344827586207,,,,0.822510822510822,,,,0.823529411764706,,,
MCC,0.416654681617899,,,,0.391800279569552,,,,0.469712638799453,,,,0.470768283784904,,,,0.451381339411039,,,,0.456967742880729,,,,0.495685040495197,,,,0.502322567224793,,,
