,J48,,,,Random Tree,,,,Random Forest,,,,Logistic,,,,MultiLayerPerception,,,,SimpleLogistic,,,,NaiveBayes,,,,BayesNet,,,
,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP,TP,FN,TN,FP
Fold 1,17,5,11,3,17,5,9,5,17,5,11,3,18,4,11,3,17,5,11,3,17,5,11,3,18,4,11,3,18,4,11,3
Fold 2,20,2,12,2,18,4,12,2,19,3,12,2,19,3,12,2,19,3,12,2,20,2,12,2,18,4,12,2,18,4,12,2
Fold 3,16,6,6,8,14,8,7,7,15,7,6,8,15,7,6,8,15,7,5,9,16,6,6,8,17,5,9,5,17,5,9,5
Fold 4,18,4,10,4,15,7,8,6,18,4,10,4,18,4,10,4,18,4,10,4,18,4,10,4,16,6,9,5,16,6,9,5
Fold 5,18,4,10,4,19,3,10,4,19,3,10,4,18,4,9,5,18,4,10,4,19,3,9,5,18,4,10,4,18,4,10,4
Fold 6,19,3,6,8,19,3,6,8,18,4,6,8,19,3,6,8,19,3,6,8,19,3,6,8,19,3,5,9,19,3,5,9
Fold 7,15,7,9,5,16,6,10,4,17,5,10,4,18,4,9,5,18,4,10,4,17,5,9,5,18,4,9,5,18,4,9,5
Fold 8,16,6,9,5,17,5,9,5,15,7,9,5,16,6,9,5,15,7,9,5,17,5,9,5,18,4,7,7,18,4,7,7
Fold 9,20,2,9,5,20,2,10,4,19,3,9,5,20,2,9,5,19,3,9,5,20,2,9,5,18,4,10,4,18,4,10,4
Fold 10,13,4,7,3,13,4,6,4,11,6,6,4,12,5,7,3,13,4,6,4,13,4,7,3,12,5,7,3,12,5,7,3
Total,172,43,89,47,168,47,87,49,168,47,89,47,173,42,88,48,171,44,88,48,176,39,88,48,172,43,89,47,172,43,89,47
acc,0.743589743589744,,,,0.726495726495726,,,,0.732193732193732,,,,0.743589743589744,,,,0.737891737891738,,,,0.752136752136752,,,,0.743589743589744,,,,0.743589743589744,,,
precision,0.785388127853881,,,,0.774193548387097,,,,0.781395348837209,,,,0.782805429864253,,,,0.780821917808219,,,,0.785714285714286,,,,0.785388127853881,,,,0.785388127853881,,,
recall,0.8,,,,0.781395348837209,,,,0.781395348837209,,,,0.804651162790698,,,,0.795348837209302,,,,0.818604651162791,,,,0.8,,,,0.8,,,
F-Measure,0.792626728110599,,,,0.777777777777778,,,,0.781395348837209,,,,0.793577981651376,,,,0.788018433179723,,,,0.801822323462415,,,,0.792626728110599,,,,0.792626728110599,,,
MCC,0.457013709084116,,,,0.422272626200874,,,,0.435807113543092,,,,0.455701610170372,,,,0.444940870076927,,,,0.472101074573705,,,,0.457013709084116,,,,0.457013709084116,,,
