alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7692307692307693,0.793859649122807,0.8418604651162791,0.8171557562076749,0.5067440741233749
drop1,0.7706552706552706,0.7969094922737306,0.8395348837209302,0.8176670441676104,0.5104665094997399
drop2,0.7711301044634378,0.7997032640949555,0.8356589147286821,0.8172858225928733,0.5123415369781084
drop3,0.76994301994302,0.7973421926910299,0.8372093023255814,0.8167895632444697,0.5092849882394869
drop4,0.770940170940171,0.7975243147656941,0.8390697674418605,0.8177697189483226,0.5112138902753458
drop5,0.7720797720797721,0.7995562130177515,0.837984496124031,0.8183194549583649,0.5140561417189425
drop6,0.7696377696377696,0.7965887555274794,0.837873754152824,0.8167098445595855,0.508447845664246
drop7,0.7702991452991453,0.7964699393270822,0.8395348837209302,0.8174356071327484,0.5096459544164763
drop8,0.7704969927192149,0.7962781586679726,0.8403100775193798,0.8177017852652753,0.5099521706931152
drop9,0.7683760683760684,0.7951434878587197,0.8376744186046512,0.8158550396375992,0.5055770636044088
drop10,0.768971768971769,0.7961399276236429,0.8372093023255814,0.8161582852431987,0.5070442270429172
drop11,0.7689933523266856,0.7966039128829826,0.8364341085271317,0.8160332766118359,0.5072504566603483
drop12,0.7692307692307693,0.7972696245733788,0.835778175313059,0.816069868995633,0.5079325122120043
drop13,0.7682132682132682,0.7961380183602406,0.8355481727574751,0.8153671583725077,0.5056302549337434
drop14,0.7684710351377018,0.7969212551805802,0.8347286821705426,0.8153869453278813,0.5063949967684037
drop15,0.7685185185185185,0.7968923418423973,0.8348837209302326,0.8154457694491766,0.5064724539858889
drop16,0.7685604156192392,0.7968668407310705,0.8350205198358414,0.8154976619906481,0.5065408502564626
drop17,0.7665400443178221,0.7951688439733794,0.8335917312661498,0.8139270846474076,0.5021696465565367
drop18,0.7668316089368721,0.7948717948717948,0.8347613219094248,0.8143283582089552,0.5026002669359629
drop19,0.7666666666666667,0.7949911347517731,0.8341860465116279,0.8141171130276895,0.5023382219262775
drop20,0.7671957671957672,0.7956898373124868,0.834108527131783,0.8144463667820069,0.5035773984063304
drop21,0.7667702667702667,0.7953216374269005,0.8338266384778013,0.814119104138714,0.5026527144663855
drop22,0.7671249845162889,0.7955641272902604,0.8341759352881699,0.8144126357354392,0.5033997247372618
drop23,0.7672127255460589,0.7953831948291782,0.8346899224806201,0.8145626477541372,0.5034957292995568
drop24,0.767977207977208,0.79585326953748,0.8355348837209302,0.8152114721365039,0.5050878000271657
drop25,0.767148805610344,0.7948936170212766,0.8354203935599285,0.8146532926297426,0.5031977774046407
