alpha\evaluation,acc,precision,recall,F-Measure,MCC
alpha1,0.7749287749287749,0.8035714285714286,0.8372093023255814,0.8200455580865604,0.5207812970106529
alpha2,0.7606837606837606,0.7847826086956522,0.8395348837209302,0.8112359550561798,0.48746262415575486
alpha3,0.7540360873694207,0.7797101449275362,0.834108527131783,0.805992509363296,0.4731074449394892
alpha4,0.7492877492877493,0.771948608137045,0.8383720930232558,0.8037904124860648,0.46128216602789734
alpha5,0.7487179487179487,0.770940170940171,0.8390697674418605,0.8035634743875278,0.4598340270373003
alpha6,0.7464387464387464,0.77,0.8356589147286821,0.8014869888475836,0.45515828016375537
alpha7,0.7456247456247457,0.7696078431372549,0.8345514950166113,0.8007650621613005,0.45347249091196185
alpha8,0.7464387464387464,0.7692307692307693,0.8372093023255814,0.801781737193764,0.4548717893354589
alpha9,0.7458056346945235,0.7682464454976303,0.8377260981912145,0.8014833127317676,0.45330524466951494
alpha10,0.747008547008547,0.7698887938408896,0.8372093023255814,0.8021390374331552,0.45619698177080437
alpha11,0.7472157472157472,0.7711831315892229,0.8350951374207188,0.8018676410881039,0.45707222407400494
alpha12,0.7473884140550807,0.7720746590093324,0.8337209302325581,0.80171449869549,0.4577372094558118
alpha13,0.7473153626999781,0.7720344599072233,0.8336314847942755,0.801651470841218,0.4575845549587431
alpha14,0.747049247049247,0.7714285714285715,0.83421926910299,0.8015961691939346,0.45685185039033177
alpha15,0.7460588793922127,0.7711085582998277,0.8325581395348837,0.8006560310123751,0.45486889330859714
alpha16,0.7457264957264957,0.7707212055974165,0.8325581395348837,0.8004471771939631,0.4540946775836613
alpha17,0.7442600972012736,0.7694254619083776,0.8317373461012312,0.7993689192742571,0.4508390534771972
alpha18,0.7440645773979108,0.7695620961952621,0.8310077519379845,0.7991054789414835,0.45052835672342156
alpha19,0.7441895336632178,0.7693004301562146,0.8318237454100367,0.7993413314514232,0.45065743489420607
alpha20,0.7443019943019943,0.7702265372168284,0.8302325581395349,0.7991046446558477,0.45123814967353537
