,C(P1.G1),C(P1.G2),C(P1.G3),C(P2.G1),C(P2.G2),C(P2.G3),C(P3.G1),C(P3.G2),C(P3.G3),C(P4.G1),C(P4.G2),C(P4.G3),C(P5.G1),C(P5.G2),C(P5.G3),C(P6.G1),C(P6.G2),C(P6.G3),C(P7.G1),C(P7.G2),C(P7.G3),"T(P1(1,2))","T(P1(1,3))","T(P1(2,3))","T(P2(1,2))","T(P2(1,3))","T(P2(2,3))","T(P3(1,2))","T(P3(1,3))","T(P3(2,3))","T(P4(1,2))","T(P4(1,3))","T(P4(2,3))","T(P5(1,2))","T(P5(1,3))","T(P5(2,3))","T(P6(1,2))","T(P6(1,3))","T(P6(2,3))","T(P7(1,2))","T(P7(1,3))","T(P7(2,3))",D(P1.G1.First),D(P1.G1.25%),D(P1.G1.50%),D(P1.G1.75%),D(P1.G1.100%),D(P1.G2.First),D(P1.G2.25%),D(P1.G2.50%),D(P1.G2.75%),D(P1.G2.100%),D(P1.G3.First),D(P1.G3.25%),D(P1.G3.50%),D(P1.G3.75%),D(P1.G3.100%),D(P2.G1.First),D(P2.G1.25%),D(P2.G1.50%),D(P2.G1.75%),D(P2.G1.100%),D(P2.G2.First),D(P2.G2.25%),D(P2.G2.50%),D(P2.G2.75%),D(P2.G2.100%),D(P2.G3.First),D(P2.G3.25%),D(P2.G3.50%),D(P2.G3.75%),D(P2.G3.100%),D(P3.G1.First),D(P3.G1.25%),D(P3.G1.50%),D(P3.G1.75%),D(P3.G1.100%),D(P3.G2.First),D(P3.G2.25%),D(P3.G2.50%),D(P3.G2.75%),D(P3.G2.100%),D(P3.G3.First),D(P3.G3.25%),D(P3.G3.50%),D(P3.G3.75%),D(P3.G3.100%),D(P4.G1.First),D(P4.G1.25%),D(P4.G1.50%),D(P4.G1.75%),D(P4.G1.100%),D(P4.G2.First),D(P4.G2.25%),D(P4.G2.50%),D(P4.G2.75%),D(P4.G2.100%),D(P4.G3.First),D(P4.G3.25%),D(P4.G3.50%),D(P4.G3.75%),D(P4.G3.100%),D(P5.G1.First),D(P5.G1.25%),D(P5.G1.50%),D(P5.G1.75%),D(P5.G1.100%),D(P5.G2.First),D(P5.G2.25%),D(P5.G2.50%),D(P5.G2.75%),D(P5.G2.100%),D(P5.G3.First),D(P5.G3.25%),D(P5.G3.50%),D(P5.G3.75%),D(P5.G3.100%),D(P6.G1.First),D(P6.G1.25%),D(P6.G1.50%),D(P6.G1.75%),D(P6.G1.100%),D(P6.G2.First),D(P6.G2.25%),D(P6.G2.50%),D(P6.G2.75%),D(P6.G2.100%),D(P6.G3.First),D(P6.G3.25%),D(P6.G3.50%),D(P6.G3.75%),D(P6.G3.100%),D(P7.G1.First),D(P7.G1.25%),D(P7.G1.50%),D(P7.G1.75%),D(P7.G1.100%),D(P7.G2.First),D(P7.G2.25%),D(P7.G2.50%),D(P7.G2.75%),D(P7.G2.100%),D(P7.G3.First),D(P7.G3.25%),D(P7.G3.50%),D(P7.G3.75%),D(P7.G3.100%),
sp|P00550|PTM3C_ECOLI,153,251,233,258,243,136,244,227,166,228,273,136,54,522,61,272,182,183,339,153,145,101,100,185,194,108,106,177,110,99,190,96,118,79,16,80,156,162,96,137,145,64,0.006279,0.345369,0.657771,0.821036,1,0.00314,0.254317,0.478807,0.718995,0.99686,0.00157,0.204082,0.414443,0.679749,0.993721,0.00314,0.248038,0.502355,0.725275,0.99686,0.007849,0.260597,0.516484,0.783359,0.993721,0.00157,0.208791,0.4427,0.739403,1,0.00157,0.208791,0.416013,0.692308,0.993721,0.00314,0.238619,0.474097,0.706436,0.99686,0.006279,0.345369,0.657771,0.816327,1,0.00314,0.255887,0.518053,0.734694,0.99686,0.007849,0.252747,0.494505,0.77394,0.993721,0.00157,0.208791,0.4427,0.739403,1,0.009419,0.370487,0.626374,0.794349,1,0.00157,0.230769,0.455259,0.709576,0.99686,0.006279,0.536892,0.726845,0.875981,0.990581,0.00157,0.290424,0.55102,0.78179,1,0.007849,0.208791,0.44427,0.725275,0.987441,0.00314,0.21821,0.464678,0.703297,0.99686,0.007849,0.22292,0.434851,0.701727,0.99686,0.006279,0.345369,0.657771,0.821036,1,0.00157,0.248038,0.469388,0.706436,0.981162,1
sp|P03004|DNAA_ECOLI,166,163,138,170,184,113,149,143,175,146,208,113,59,353,55,228,118,121,203,166,98,115,103,102,146,91,76,97,116,112,141,82,85,88,16,78,116,113,58,149,75,69,0.014989,0.289079,0.531049,0.764454,0.991435,0.004283,0.233405,0.40257,0.72591,1,0.002141,0.216274,0.513919,0.75803,0.995717,0.004283,0.211991,0.408994,0.743041,1,0.006424,0.256959,0.528908,0.740899,0.995717,0.002141,0.310493,0.520343,0.770878,0.991435,0.002141,0.250535,0.501071,0.747323,0.995717,0.004283,0.218415,0.394004,0.723769,1,0.014989,0.297645,0.533191,0.773019,0.991435,0.004283,0.233405,0.456103,0.755889,1,0.006424,0.224839,0.501071,0.730193,0.995717,0.002141,0.310493,0.520343,0.770878,0.991435,0.025696,0.381156,0.610278,0.815846,0.991435,0.002141,0.222698,0.45182,0.730193,1,0.03212,0.340471,0.59743,0.781585,0.978587,0.002141,0.265525,0.528908,0.779443,0.995717,0.012848,0.250535,0.501071,0.736617,0.993576,0.004283,0.239829,0.415418,0.708779,1,0.006424,0.248394,0.498929,0.736617,0.995717,0.014989,0.289079,0.531049,0.764454,0.991435,0.002141,0.20985,0.415418,0.760171,1,1
sp|P04395|3MG2_ECOLI,74,118,90,119,93,70,102,102,78,95,117,70,28,228,26,140,74,68,142,74,66,70,52,91,98,63,42,88,65,63,91,52,53,49,3,43,67,57,45,90,63,32,0.01773,0.301418,0.535461,0.812057,0.996454,0.007092,0.212766,0.48227,0.72695,1,0.003546,0.237589,0.453901,0.730496,0.98227,0.010638,0.244681,0.48227,0.70922,1,0.014184,0.248227,0.446809,0.702128,0.996454,0.003546,0.27305,0.567376,0.829787,0.98227,0.003546,0.223404,0.460993,0.741135,0.98227,0.010638,0.234043,0.478723,0.705674,1,0.01773,0.301418,0.535461,0.801418,0.996454,0.010638,0.22695,0.468085,0.70922,1,0.014184,0.262411,0.475177,0.705674,0.996454,0.003546,0.27305,0.567376,0.829787,0.98227,0.078014,0.343972,0.567376,0.819149,0.93617,0.003546,0.234043,0.478723,0.737589,1,0.039007,0.241135,0.524823,0.822695,0.996454,0.003546,0.276596,0.510638,0.72695,1,0.007092,0.173759,0.489362,0.787234,0.98227,0.01773,0.22695,0.43617,0.712766,0.992908,0.014184,0.255319,0.457447,0.702128,1,0.01773,0.301418,0.535461,0.812057,0.996454,0.003546,0.156028,0.531915,0.755319,0.989362,1
sp|P0A8H3|ZUPT_ECOLI,34,114,109,111,100,46,113,106,38,95,116,46,10,235,12,118,65,74,158,34,65,26,20,111,101,46,35,113,22,28,91,40,41,14,2,20,62,67,46,23,80,23,0.101167,0.322957,0.466926,0.848249,0.980545,0.007782,0.245136,0.509728,0.719844,1,0.003891,0.206226,0.486381,0.762646,0.996109,0.007782,0.245136,0.51751,0.750973,1,0.011673,0.252918,0.525292,0.762646,0.996109,0.003891,0.264591,0.373541,0.653696,0.957198,0.003891,0.22179,0.486381,0.762646,0.996109,0.007782,0.229572,0.513619,0.731518,1,0.101167,0.346304,0.463035,0.653696,0.980545,0.007782,0.237354,0.536965,0.731518,1,0.011673,0.252918,0.521401,0.770428,0.996109,0.003891,0.264591,0.373541,0.653696,0.957198,0.105058,0.120623,0.400778,0.649805,0.875486,0.003891,0.245136,0.505837,0.750973,1,0.198444,0.319066,0.529183,0.848249,0.88716,0.003891,0.22179,0.44358,0.712062,0.988327,0.011673,0.276265,0.505837,0.762646,0.996109,0.007782,0.2607,0.51751,0.770428,1,0.011673,0.225681,0.533074,0.735409,1,0.101167,0.322957,0.466926,0.848249,0.980545,0.003891,0.249027,0.455253,0.766537,0.984436,1
sp|P0AAD8|TDCC_ECOLI,76,170,197,167,164,112,212,150,81,146,185,112,31,389,23,163,167,113,249,76,118,68,44,162,135,99,69,159,55,59,124,90,78,47,7,35,120,91,81,71,142,41,0.011287,0.291196,0.546275,0.785553,0.995485,0.004515,0.196388,0.487585,0.735892,0.993228,0.002257,0.268623,0.476298,0.747178,1,0.004515,0.191874,0.48307,0.72009,0.979684,0.015801,0.288939,0.489842,0.774266,0.997743,0.002257,0.277652,0.530474,0.747178,1,0.002257,0.268623,0.480813,0.756208,1,0.004515,0.191874,0.48307,0.72009,0.979684,0.011287,0.288939,0.544018,0.774266,0.995485,0.004515,0.191874,0.48307,0.722348,0.979684,0.015801,0.264108,0.485327,0.774266,0.997743,0.002257,0.277652,0.530474,0.747178,1,0.029345,0.311512,0.566591,0.801354,0.995485,0.002257,0.24605,0.48307,0.744921,1,0.011287,0.288939,0.537246,0.643341,0.954853,0.002257,0.293454,0.564334,0.767494,0.997743,0.006772,0.24605,0.478555,0.726862,1,0.004515,0.187359,0.462754,0.751693,0.986456,0.015801,0.250564,0.476298,0.751693,1,0.011287,0.291196,0.546275,0.785553,0.995485,0.002257,0.214447,0.492099,0.699774,0.993228,1
sp|P0ABI4|CORA_ECOLI,111,90,115,98,138,80,123,77,116,86,150,80,31,232,53,159,79,78,143,111,62,60,86,60,85,47,76,59,93,57,80,42,81,49,7,71,80,82,36,108,59,38,0.018987,0.202532,0.449367,0.655063,0.993671,0.009494,0.272152,0.522152,0.822785,0.977848,0.003165,0.291139,0.582278,0.806962,1,0.009494,0.221519,0.458861,0.712025,0.968354,0.006329,0.189873,0.496835,0.731013,1,0.003165,0.306962,0.541139,0.813291,0.996835,0.003165,0.303797,0.582278,0.816456,1,0.009494,0.262658,0.503165,0.778481,0.968354,0.018987,0.212025,0.443038,0.655063,0.993671,0.009494,0.224684,0.427215,0.664557,0.96519,0.006329,0.212025,0.509494,0.737342,1,0.003165,0.306962,0.541139,0.813291,0.996835,0.03481,0.316456,0.506329,0.686709,0.990506,0.003165,0.275316,0.541139,0.787975,1,0.025316,0.18038,0.341772,0.544304,0.901899,0.003165,0.237342,0.490506,0.689873,1,0.015823,0.291139,0.582278,0.825949,0.996835,0.009494,0.221519,0.484177,0.734177,0.993671,0.006329,0.275316,0.563291,0.78481,1,0.018987,0.202532,0.449367,0.655063,0.993671,0.003165,0.28481,0.515823,0.832278,0.977848,1
sp|P0AD99|BRNQ_ECOLI,55,195,189,192,166,81,201,177,61,167,191,81,19,404,16,170,158,111,276,55,108,61,35,180,152,78,64,173,42,57,149,69,73,36,2,30,126,84,74,62,128,34,0.009112,0.323462,0.505695,0.769932,0.986333,0.004556,0.236902,0.489749,0.715262,1,0.002278,0.248292,0.507973,0.758542,0.98861,0.004556,0.234624,0.489749,0.733485,0.997722,0.009112,0.273349,0.496583,0.753986,0.98861,0.002278,0.243736,0.514806,0.792711,1,0.002278,0.259681,0.507973,0.747153,0.98861,0.004556,0.232346,0.482916,0.733485,0.997722,0.006834,0.266515,0.505695,0.822323,1,0.004556,0.236902,0.489749,0.699317,0.997722,0.009112,0.257403,0.501139,0.765376,0.98861,0.002278,0.243736,0.514806,0.792711,1,0.013667,0.230068,0.505695,0.822323,0.984055,0.002278,0.250569,0.498861,0.747153,1,0.020501,0.246014,0.451025,0.692483,0.972665,0.002278,0.255125,0.526196,0.758542,1,0.004556,0.23918,0.471526,0.726651,0.990888,0.015945,0.257403,0.489749,0.756264,0.995444,0.01139,0.23918,0.485194,0.728929,0.997722,0.009112,0.323462,0.505695,0.769932,0.986333,0.002278,0.257403,0.512528,0.779043,1,1
sp|P0AFJ7|PITA_ECOLI,95,211,193,206,181,112,205,187,107,187,200,112,39,432,28,220,150,129,272,95,132,67,59,169,154,86,85,160,76,70,157,77,94,48,8,46,117,119,83,83,140,43,0.018036,0.39479,0.56513,0.705411,0.995992,0.006012,0.244489,0.511022,0.787575,0.991984,0.002004,0.200401,0.438878,0.753507,1,0.012024,0.268537,0.527054,0.779559,0.991984,0.004008,0.216433,0.478958,0.721443,1,0.002004,0.228457,0.476954,0.741483,0.997996,0.002004,0.200401,0.442886,0.759519,1,0.012024,0.260521,0.513026,0.795591,0.991984,0.006012,0.374749,0.551102,0.685371,0.995992,0.012024,0.254509,0.523046,0.791583,0.991984,0.004008,0.248497,0.48497,0.711423,1,0.002004,0.228457,0.476954,0.741483,0.997996,0.092184,0.39479,0.56513,0.733467,0.937876,0.002004,0.228457,0.48497,0.765531,1,0.018036,0.396794,0.577154,0.699399,0.923848,0.002004,0.208417,0.507014,0.737475,1,0.01002,0.256513,0.488978,0.773547,0.997996,0.014028,0.270541,0.496994,0.729459,0.991984,0.004008,0.210421,0.44489,0.759519,1,0.018036,0.39479,0.56513,0.705411,0.995992,0.002004,0.244489,0.557114,0.799599,0.991984,1
sp|P0AFR2|DAUA_ECOLI,97,221,241,230,218,111,248,204,107,194,254,111,39,487,33,248,171,140,340,97,122,76,86,206,195,91,76,199,97,75,174,80,87,65,5,57,146,122,94,115,154,47,0.003578,0.304114,0.57424,0.867621,0.998211,0.010733,0.202147,0.438283,0.660107,0.996422,0.001789,0.255814,0.509839,0.753131,1,0.010733,0.239714,0.488372,0.711986,0.998211,0.003578,0.270125,0.499106,0.751342,1,0.001789,0.232558,0.513417,0.788909,0.994633,0.001789,0.241503,0.497317,0.749553,1,0.010733,0.214669,0.465116,0.670841,0.996422,0.003578,0.304114,0.567084,0.856887,0.998211,0.010733,0.214669,0.484794,0.692308,0.998211,0.003578,0.282648,0.500894,0.758497,1,0.001789,0.232558,0.513417,0.788909,0.994633,0.005367,0.273703,0.717352,0.872987,0.989267,0.001789,0.241503,0.47585,0.715564,1,0.030411,0.434705,0.711986,0.860465,0.998211,0.001789,0.286225,0.542039,0.776386,1,0.007156,0.209302,0.447227,0.740608,0.982111,0.003578,0.254025,0.472272,0.722719,0.998211,0.007156,0.237925,0.49195,0.738819,1,0.003578,0.304114,0.57424,0.867621,0.998211,0.001789,0.232558,0.465116,0.677996,0.994633,1
sp|P0AGE4|SSTT_ECOLI,69,165,180,174,171,69,185,155,74,149,196,69,23,373,18,171,130,113,249,69,96,47,52,149,149,57,58,148,55,46,139,51,64,37,5,27,112,79,82,63,107,36,0.009662,0.306763,0.565217,0.780193,1,0.004831,0.23913,0.487923,0.756039,0.992754,0.002415,0.243961,0.504831,0.736715,0.995169,0.004831,0.275362,0.521739,0.789855,0.992754,0.009662,0.241546,0.52657,0.748792,1,0.002415,0.198068,0.398551,0.596618,0.997585,0.002415,0.243961,0.504831,0.724638,0.995169,0.004831,0.253623,0.497585,0.7657,0.992754,0.009662,0.198068,0.458937,0.763285,1,0.004831,0.263285,0.502415,0.799517,0.992754,0.009662,0.258454,0.533816,0.76087,1,0.002415,0.198068,0.398551,0.596618,0.997585,0.012077,0.13285,0.413043,0.589372,0.997585,0.002415,0.246377,0.497585,0.751208,1,0.099034,0.342995,0.68599,0.927536,0.978261,0.002415,0.188406,0.480676,0.7343,0.997585,0.004831,0.263285,0.509662,0.741546,0.966184,0.014493,0.285024,0.487923,0.780193,1,0.019324,0.236715,0.504831,0.758454,0.995169,0.009662,0.306763,0.565217,0.780193,1,0.002415,0.26087,0.466184,0.707729,0.990338,1
