,G(1sss1),G(1sss2),G(1sss3),G(1sss4),G(1sss5),G(1sss6),G(1sss7),G(1sss8),G(2sss1),G(2sss2),G(2sss3),G(2sss4),G(2sss5),G(2sss6),G(2sss7),G(2sss8),G(3sss1),G(3sss2),G(3sss3),G(3sss4),G(3sss5),G(3sss6),G(3sss7),G(3sss8),G(4sss1),G(4sss2),G(4sss3),G(4sss4),G(4sss5),G(4sss6),G(4sss7),G(4sss8),G(5sss1),G(5sss2),G(5sss3),G(5sss4),G(5sss5),G(5sss6),G(5sss7),G(5sss8),G(6sss1),G(6sss2),G(6sss3),G(6sss4),G(6sss5),G(6sss6),G(6sss7),G(6sss8),G(7sss1),G(7sss2),G(7sss3),G(7sss4),G(7sss5),G(7sss6),G(7sss7),G(7sss8),G(8sss1),G(8sss2),G(8sss3),G(8sss4),G(8sss5),G(8sss6),G(8sss7),G(8sss8),
sp|P00550|PTM3C_ECOLI,0.021978,0.029827,0.023548,0.018838,0.006279,0.050235,0.00157,0,0.026688,0.018838,0.028257,0.014129,0.00471,0.031397,0.00157,0,0.031397,0.023548,0.040816,0.012559,0.009419,0.069074,0.00157,0,0.025118,0.006279,0.017268,0.015699,0.006279,0.031397,0,0.00157,0.00314,0.006279,0.00157,0.007849,0,0.017268,0.00471,0,0.039246,0.039246,0.065934,0.034537,0.014129,0.141287,0.014129,0.00471,0.00314,0.00471,0.006279,0.00157,0,0.007849,0,0,0.00314,0,0,0,0,0.00314,0,0,1
sp|P03004|DNAA_ECOLI,0.021413,0.049251,0.047109,0.008565,0.008565,0.029979,0.008565,0,0.049251,0.034261,0.057816,0.010707,0.004283,0.038544,0,0,0.044968,0.03212,0.03212,0.012848,0.012848,0.06424,0.012848,0,0.002141,0.010707,0.012848,0.004283,0.004283,0.014989,0,0,0.014989,0,0.014989,0,0,0.010707,0.004283,0,0.034261,0.062099,0.047109,0.010707,0.012848,0.094218,0.008565,0.006424,0.002141,0.006424,0.002141,0.002141,0.002141,0.019272,0,0,0.004283,0,0,0,0,0.002141,0,0,1
sp|P04395|3MG2_ECOLI,0.021277,0.039007,0.01773,0.014184,0.021277,0.056738,0.010638,0,0.039007,0.01773,0.031915,0.014184,0.003546,0.046099,0.007092,0.003546,0.024823,0.021277,0.028369,0.014184,0.007092,0.042553,0.003546,0,0.021277,0.014184,0.010638,0.003546,0.007092,0.010638,0.003546,0,0.014184,0.01773,0.010638,0,0.007092,0.007092,0.007092,0.003546,0.060284,0.039007,0.035461,0.021277,0.01773,0.074468,0.01773,0.007092,0.007092,0.014184,0.007092,0.003546,0.003546,0.01773,0.021277,0,0,0,0,0,0.003546,0.010638,0,0,1
sp|P0A8H3|ZUPT_ECOLI,0.027237,0.007782,0.038911,0.027237,0.007782,0.046693,0.003891,0,0.007782,0.027237,0.003891,0,0.007782,0.027237,0,0,0.027237,0.007782,0.019455,0.027237,0.011673,0.046693,0.007782,0,0.023346,0.007782,0.011673,0.011673,0,0.046693,0.007782,0,0.023346,0.003891,0.007782,0,0.007782,0.011673,0.003891,0,0.054475,0.019455,0.054475,0.042802,0.019455,0.217899,0,0,0,0,0.007782,0.007782,0,0.003891,0,0.003891,0,0,0,0,0,0.003891,0,0,1
sp|P0AAD8|TDCC_ECOLI,0.024831,0.013544,0.011287,0.018059,0.006772,0.027088,0.002257,0.002257,0.013544,0.015801,0.022573,0.009029,0,0.024831,0.006772,0,0.018059,0.020316,0.058691,0.009029,0.002257,0.092551,0.009029,0.002257,0.002257,0.004515,0.022573,0.009029,0.002257,0.03386,0,0,0.002257,0.002257,0.011287,0.004515,0,0.009029,0.004515,0,0.038375,0.031603,0.06772,0.024831,0.020316,0.187359,0.027088,0.009029,0.006772,0.006772,0.009029,0,0.002257,0.024831,0.002257,0,0,0,0.002257,0,0,0.009029,0.002257,0,1
sp|P0ABI4|CORA_ECOLI,0.031646,0.012658,0.044304,0.015823,0.012658,0.050633,0.009494,0,0.025316,0.012658,0.025316,0.012658,0.003165,0.066456,0.006329,0.003165,0.012658,0.050633,0.03481,0.006329,0.006329,0.075949,0.003165,0,0.015823,0.009494,0.009494,0,0,0.009494,0.003165,0,0.009494,0,0.006329,0,0,0.015823,0.003165,0,0.072785,0.066456,0.066456,0.012658,0.012658,0.10443,0.009494,0,0.006329,0.006329,0,0,0,0.018987,0.003165,0,0,0,0.003165,0,0,0,0,0,1
sp|P0AD99|BRNQ_ECOLI,0.015945,0.01139,0.025057,0.013667,0.013667,0.05467,0.006834,0,0.009112,0.015945,0.01139,0.009112,0.004556,0.025057,0.004556,0,0.027335,0.015945,0.036446,0.018223,0.013667,0.061503,0.002278,0,0.013667,0,0.020501,0.01139,0,0.04328,0.002278,0,0.004556,0.006834,0.009112,0.002278,0,0.020501,0.002278,0,0.061503,0.027335,0.059226,0.034169,0.013667,0.168565,0.025057,0.01139,0.006834,0,0.015945,0.002278,0,0.018223,0.002278,0,0.004556,0,0,0,0,0.006834,0,0,1
sp|P0AFJ7|PITA_ECOLI,0.018036,0.024048,0.02004,0.02004,0.002004,0.042084,0.004008,0.002004,0.014028,0.016032,0.04008,0.01002,0.002004,0.038076,0.004008,0.002004,0.034068,0.028056,0.048096,0.014028,0.002004,0.06012,0.014028,0,0.01002,0.012024,0.018036,0.012024,0.004008,0.034068,0.004008,0,0.008016,0.006012,0.008016,0,0,0.012024,0,0,0.042084,0.03006,0.054108,0.038076,0.02004,0.164329,0.012024,0,0.006012,0.01002,0.008016,0,0.004008,0.01002,0.002004,0,0,0,0.004008,0,0,0,0,0,1
sp|P0AFR2|DAUA_ECOLI,0.021467,0.014311,0.026834,0.0161,0.001789,0.060823,0,0.003578,0.014311,0.021467,0.023256,0.005367,0.005367,0.039356,0.003578,0,0.025045,0.021467,0.017889,0.025045,0.008945,0.050089,0.001789,0,0.023256,0.007156,0.014311,0.007156,0.005367,0.033989,0,0,0.012522,0.003578,0.005367,0.001789,0.005367,0.023256,0.001789,0,0.048301,0.035778,0.051878,0.0322,0.025045,0.187835,0.0161,0.007156,0.001789,0.005367,0.008945,0.001789,0.001789,0.003578,0.001789,0,0,0.001789,0.001789,0.001789,0,0.005367,0,0,1
sp|P0AGE4|SSTT_ECOLI,0.012077,0.014493,0.028986,0.012077,0.002415,0.060386,0.002415,0,0.009662,0.012077,0.021739,0.007246,0.004831,0.028986,0,0,0.036232,0.016908,0.055556,0.016908,0.014493,0.055556,0.004831,0.007246,0.009662,0.007246,0.024155,0.009662,0.002415,0.024155,0.002415,0,0.004831,0.004831,0.004831,0,0.002415,0.021739,0.002415,0,0.060386,0.021739,0.057971,0.028986,0.012077,0.195652,0.012077,0.012077,0,0.007246,0.004831,0,0.002415,0.009662,0,0,0.002415,0,0.007246,0.004831,0,0.004831,0,0,1
sp|P24177|ACRD_ECOLI,0.023144,0.027001,0.027965,0.011572,0.007715,0.043394,0.005786,0.000964,0.019286,0.031823,0.032787,0.014465,0.002893,0.034716,0.005786,0,0.032787,0.030858,0.051109,0.012536,0.007715,0.067502,0.007715,0.001929,0.011572,0.012536,0.017358,0.009643,0.002893,0.022179,0.001929,0,0.003857,0.007715,0.007715,0.003857,0.000964,0.0135,0.001929,0,0.052073,0.02893,0.061716,0.024108,0.018322,0.135969,0.011572,0.000964,0.004822,0.003857,0.011572,0.001929,0.000964,0.011572,0.004822,0,0,0,0.000964,0,0,0.002893,0,0,1
sp|P46136|YDDG_ECOLI,0.010239,0.006826,0.023891,0.020478,0.003413,0.037543,0.013652,0.003413,0.010239,0.003413,0.006826,0.010239,0,0.03413,0.003413,0,0.03413,0.010239,0.027304,0.010239,0.010239,0.05802,0.017065,0.003413,0.013652,0,0.013652,0.017065,0,0.044369,0.010239,0.003413,0.003413,0.006826,0.006826,0,0,0.020478,0,0,0.047782,0.03413,0.064846,0.03413,0.017065,0.163823,0.030717,0.003413,0,0.006826,0.017065,0.010239,0.006826,0.030717,0,0.003413,0,0,0.010239,0.003413,0,0.003413,0,0,1
sp|P69423|TATC_ECOLI,0.027132,0.01938,0.01938,0.003876,0.011628,0.042636,0.011628,0,0.011628,0.011628,0.015504,0.007752,0.007752,0.034884,0.003876,0.003876,0.03876,0.011628,0.031008,0.003876,0.007752,0.054264,0.007752,0,0.011628,0,0.01938,0,0.003876,0.007752,0,0,0,0.01938,0.015504,0.003876,0.003876,0.015504,0.003876,0,0.034884,0.034884,0.042636,0.015504,0.027132,0.244186,0.01938,0.011628,0.015504,0.003876,0.011628,0.007752,0,0.007752,0,0,0,0,0,0,0,0.015504,0,0,1
sp|P69786|PTGCB_ECOLI,0.020964,0.018868,0.031447,0.012579,0.004193,0.052411,0.016771,0.002096,0.016771,0.012579,0.023061,0.012579,0.010482,0.023061,0.006289,0,0.039832,0.016771,0.027254,0.012579,0.008386,0.048218,0.006289,0.002096,0.016771,0.016771,0.016771,0.014675,0.004193,0.035639,0,0,0.010482,0.008386,0.008386,0.004193,0,0.016771,0,0,0.046122,0.023061,0.052411,0.044025,0.020964,0.165618,0.010482,0.002096,0.008386,0.010482,0.002096,0.002096,0,0.016771,0.002096,0,0,0,0,0.002096,0,0.004193,0,0,1
sp|P69797|PTNAB_ECOLI,0.04644,0.027864,0.027864,0.018576,0.012384,0.049536,0.003096,0,0.03096,0.021672,0.03096,0.009288,0.009288,0.04644,0,0,0.021672,0.043344,0.024768,0.01548,0.006192,0.080495,0.006192,0,0.009288,0.006192,0.012384,0,0.003096,0.03096,0.006192,0,0.027864,0.003096,0.006192,0.003096,0.003096,0.009288,0,0,0.043344,0.043344,0.092879,0.018576,0.01548,0.080495,0.012384,0,0.003096,0.009288,0.003096,0.003096,0.003096,0.006192,0,0,0,0,0,0,0,0,0,0,1
sp|P76630|YGAZ_ECOLI,0.032653,0.020408,0.02449,0.02449,0.004082,0.053061,0.004082,0.004082,0.012245,0.016327,0.032653,0.008163,0.004082,0.012245,0.008163,0.004082,0.032653,0.02449,0.020408,0.012245,0,0.073469,0.012245,0,0.012245,0.004082,0.012245,0.020408,0.004082,0.02449,0.004082,0,0.008163,0,0.016327,0,0.008163,0.012245,0,0,0.053061,0.032653,0.057143,0.016327,0.020408,0.146939,0.012245,0.012245,0.008163,0,0.008163,0,0.004082,0.020408,0.004082,0,0.008163,0,0.004082,0,0,0.008163,0,0,1
sp|A1A5B4|ANO9_HUMAN,0.012788,0.023018,0.028133,0.006394,0.01023,0.042199,0.006394,0.002558,0.023018,0.031969,0.031969,0.01023,0.002558,0.061381,0.007673,0.007673,0.028133,0.02046,0.031969,0.006394,0.008951,0.057545,0.011509,0.006394,0.006394,0.014066,0.006394,0.002558,0.002558,0.015345,0.001279,0,0.008951,0.008951,0.012788,0.001279,0.001279,0.011509,0.001279,0,0.042199,0.060102,0.053708,0.016624,0.014066,0.138107,0.017903,0.003836,0.007673,0.011509,0.006394,0,0.006394,0.015345,0.006394,0,0.001279,0.005115,0.003836,0.003836,0,0.005115,0.001279,0,1
sp|O00341|EAA5_HUMAN,0.028571,0.026786,0.028571,0.0125,0.007143,0.028571,0.003571,0,0.017857,0.021429,0.014286,0.003571,0.007143,0.05,0.007143,0.003571,0.028571,0.014286,0.051786,0.010714,0.014286,0.064286,0.003571,0.003571,0.010714,0.008929,0.008929,0.007143,0.001786,0.026786,0.001786,0.001786,0.003571,0.007143,0.010714,0.001786,0.005357,0.025,0.001786,0,0.044643,0.042857,0.067857,0.028571,0.0125,0.158929,0.007143,0.010714,0.003571,0.001786,0.007143,0.001786,0.003571,0.007143,0,0,0,0,0.005357,0.001786,0.001786,0.010714,0,0,1
sp|O14804|TAAR5_HUMAN,0.014837,0.011869,0.017804,0.005935,0.008902,0.035608,0.005935,0.002967,0.011869,0.020772,0.032641,0.002967,0.005935,0.035608,0.011869,0.002967,0.032641,0.032641,0.026706,0.005935,0.005935,0.050445,0.014837,0.005935,0.002967,0.008902,0,0.002967,0.002967,0.020772,0,0.002967,0,0.002967,0.017804,0,0.002967,0.017804,0,0.002967,0.029674,0.04451,0.062315,0.014837,0.014837,0.181009,0.026706,0.020772,0.011869,0.002967,0.008902,0.005935,0.002967,0.023739,0.005935,0,0,0,0.008902,0.002967,0,0.026706,0,0.002967,1
sp|O14979|HNRDL_HUMAN,0.028571,0.040476,0.019048,0.016667,0.004762,0.02381,0,0.002381,0.019048,0.069048,0.035714,0.033333,0.019048,0.040476,0.009524,0.002381,0.030952,0.040476,0.047619,0.030952,0.014286,0.02619,0.019048,0,0.011905,0.016667,0.033333,0.019048,0.004762,0.014286,0.019048,0.002381,0.011905,0.016667,0.011905,0,0.004762,0.011905,0.002381,0,0.02619,0.035714,0.045238,0.009524,0.009524,0.038095,0.004762,0,0.004762,0.011905,0.014286,0.011905,0.002381,0.007143,0.007143,0,0,0,0.002381,0,0,0.002381,0.002381,0,1
sp|O15400|STX7_HUMAN,0.019157,0.045977,0.038314,0,0,0.038314,0.003831,0,0.049808,0.091954,0.05364,0,0.003831,0.038314,0.007663,0.007663,0.022989,0.057471,0.049808,0.011494,0.007663,0.068966,0.007663,0,0.007663,0.007663,0.015326,0,0,0.003831,0,0,0.003831,0.007663,0.007663,0.003831,0.003831,0.003831,0,0,0.042146,0.042146,0.049808,0.022989,0.015326,0.091954,0,0,0,0.003831,0.007663,0,0,0.011494,0,0,0,0,0,0,0,0.007663,0,0,1
