,11,12,13,14,15,16,17,18,21,22,23,24,25,26,27,28,31,32,33,34,35,36,37,38,41,42,43,44,45,46,47,48,51,52,53,54,55,56,57,58,61,62,63,64,65,66,67,68,71,72,73,74,75,76,77,78,81,82,83,84,85,86,87,88,
sp|P00550|PTM3C_ECOLI,3e-06,3e-06,2e-06,3e-06,1e-06,2e-06,4e-06,4e-06,2e-06,3e-06,3e-06,2e-06,0,3e-06,3e-06,0,3e-06,2e-06,3e-06,1e-06,4e-06,2e-06,2e-06,0,3e-06,2e-06,1e-06,3e-06,4e-06,2e-06,6e-06,0,2e-06,3e-06,3e-06,3e-06,2e-06,2e-06,4e-06,0,2e-06,2e-06,3e-06,3e-06,3e-06,3e-06,1e-06,3e-06,0,0,2e-06,2e-06,4e-06,5e-06,0,2.6e-05,4e-06,5e-06,3e-06,0,0,2e-06,0,0,1
sp|P03004|DNAA_ECOLI,4e-06,4e-06,3e-06,3e-06,9e-06,6e-06,3e-06,9e-06,5e-06,4e-06,6e-06,0,6e-06,4e-06,4e-06,8e-06,3e-06,5e-06,5e-06,5e-06,3e-06,5e-06,3e-06,0,5e-06,4e-06,5e-06,1.2e-05,0,4e-06,1.2e-05,0,8e-06,6e-06,4e-06,9e-06,5e-06,2e-06,0,0,6e-06,5e-06,5e-06,4e-06,3e-06,4e-06,5e-06,5e-06,2e-06,6e-06,3e-06,1.2e-05,6e-06,4e-06,1.7e-05,0,0,8e-06,0,3.1e-05,0,5e-06,0,0,1
sp|P04395|3MG2_ECOLI,1.5e-05,2e-05,8e-06,1e-05,3e-06,1.2e-05,6e-06,1.7e-05,1e-05,1e-05,1.1e-05,1.2e-05,1.5e-05,1.6e-05,1.1e-05,1.9e-05,1.3e-05,2e-06,8e-06,4e-06,1.7e-05,1.8e-05,2.9e-05,0,1.3e-05,1.2e-05,9e-06,0,0,1.8e-05,1.7e-05,4.4e-05,7e-06,1.2e-05,1.7e-05,4.4e-05,9e-06,7e-06,1.7e-05,0,1.5e-05,1.3e-05,1.6e-05,1.6e-05,2.3e-05,7e-06,7e-06,1.2e-05,1e-05,2.2e-05,2.1e-05,8e-06,0,9e-06,1.6e-05,0,0,0,2.2e-05,0,0,3.5e-05,0,0,1
sp|P0A8H3|ZUPT_ECOLI,2e-05,1e-05,1e-05,2.8e-05,0,1.5e-05,1.5e-05,0,1e-05,4.3e-05,4.3e-05,0,4.1e-05,4e-06,0,0,1.2e-05,1.6e-05,1.3e-05,7e-06,2.7e-05,1.7e-05,1.7e-05,0,6e-06,7e-06,7e-06,4e-06,9e-06,2.4e-05,4.3e-05,0,1.9e-05,4.1e-05,2e-05,0,0,1.5e-05,0,0,1.7e-05,1.2e-05,1.5e-05,1.8e-05,1.7e-05,1.4e-05,1.2e-05,3.7e-05,3.1e-05,0,0,4.3e-05,0,1.2e-05,0,0,0,0,0,0.00013,0,0,0,0,1
sp|P0AAD8|TDCC_ECOLI,6e-06,8e-06,5e-06,4e-06,1e-05,4e-06,8e-06,0,7e-06,8e-06,7e-06,5e-06,0,4e-06,4e-06,9e-06,2e-06,7e-06,5e-06,5e-06,6e-06,6e-06,5e-06,4e-06,3e-06,1.1e-05,6e-06,4e-06,0,5e-06,3e-06,0,3e-06,0,5e-06,0,0,8e-06,6e-06,0,6e-06,1e-06,5e-06,6e-06,4e-06,5e-06,5e-06,6e-06,1e-05,9e-06,2e-06,3e-06,1.3e-05,4e-06,4e-06,1.6e-05,0,9e-06,4e-06,0,2.5e-05,6e-06,0,0,1
sp|P0ABI4|CORA_ECOLI,6e-06,1.1e-05,1.4e-05,1.1e-05,1e-05,9e-06,9e-06,0,1e-05,8e-06,1e-05,4e-06,1.2e-05,1.2e-05,5e-06,0,1e-05,1e-05,9e-06,1e-05,0,1.1e-05,9e-06,0,4e-06,1.7e-05,1e-05,1.4e-05,0,8e-06,3.5e-05,0,1.5e-05,6e-06,9e-06,3.8e-05,2.6e-05,3e-06,2.4e-05,0,1.3e-05,1e-05,8e-06,8e-06,1.3e-05,9e-06,1e-05,2.9e-05,5e-06,1.1e-05,1.3e-05,1.8e-05,2.4e-05,1e-05,0,0,0,0,0,0,0,2.9e-05,0,0,1
sp|P0AD99|BRNQ_ECOLI,6e-06,8e-06,3e-06,6e-06,5e-06,5e-06,5e-06,1.4e-05,4e-06,7e-06,8e-06,3e-06,0,5e-06,6e-06,0,7e-06,7e-06,5e-06,4e-06,3e-06,5e-06,4e-06,6e-06,4e-06,5e-06,4e-06,9e-06,3e-06,6e-06,3e-06,0,2e-06,3e-06,3e-06,3e-06,1.7e-05,7e-06,0,2.3e-05,5e-06,3e-06,6e-06,6e-06,5e-06,5e-06,6e-06,3e-06,4e-06,9e-06,6e-06,0,1.7e-05,5e-06,6e-06,0,1.4e-05,0,0,0,0,5e-06,2.3e-05,0,1
sp|P0AFJ7|PITA_ECOLI,4e-06,3e-06,4e-06,3e-06,5e-06,4e-06,6e-06,0,2e-06,8e-06,3e-06,4e-06,7e-06,4e-06,2e-06,1.6e-05,3e-06,6e-06,5e-06,5e-06,2e-06,3e-06,4e-06,0,3e-06,2e-06,3e-06,5e-06,0,6e-06,4e-06,0,1.4e-05,2e-06,2e-06,3e-06,7e-06,3e-06,0,0,4e-06,3e-06,4e-06,4e-06,5e-06,4e-06,3e-06,5e-06,8e-06,2e-06,6e-06,0,0,3e-06,1.5e-05,0,0,1.6e-05,0,0,0,5e-06,0,0,1
sp|P0AFR2|DAUA_ECOLI,3e-06,3e-06,3e-06,4e-06,4e-06,3e-06,3e-06,4e-06,2e-06,5e-06,2e-06,1e-06,2e-06,4e-06,1e-05,0,4e-06,4e-06,2e-06,4e-06,1e-06,3e-06,3e-06,0,1e-06,3e-06,4e-06,3e-06,2e-06,4e-06,0,1.2e-05,3e-06,5e-06,4e-06,2e-06,0,3e-06,4e-06,0,3e-06,2e-06,3e-06,4e-06,5e-06,3e-06,2e-06,4e-06,0,2e-06,9e-06,3e-06,9e-06,2e-06,0,0,1.1e-05,0,4e-06,0,0,1e-06,2.1e-05,0,1
sp|P0AGE4|SSTT_ECOLI,8e-06,4e-06,6e-06,4e-06,5e-06,5e-06,4e-06,1.6e-05,4e-06,1.5e-05,6e-06,1e-05,8e-06,4e-06,0,0,5e-06,5e-06,8e-06,3e-06,8e-06,5e-06,6e-06,3e-06,5e-06,2e-06,6e-06,2e-06,0,8e-06,7e-06,9e-06,3e-06,0,5e-06,4e-06,8e-06,9e-06,0,0,5e-06,6e-06,5e-06,7e-06,6e-06,6e-06,7e-06,5e-06,1.3e-05,7e-06,3e-06,7e-06,0,4e-06,2.4e-05,0,1.6e-05,8e-06,3e-06,9e-06,0,4e-06,0,0,1
